Time,dt,Error,Omega,V,Dummy,P,I,D
19.92028253,0.367837766,0.0,0.0,0.5,0.0,0.0,0.0,0.0
19.950631423,0.030348893,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.009693835,0.059062412,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.057219859,0.047526024,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.099462283,0.042242424,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.14973546,0.050273177,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.199526482,0.049791022,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.254088144,0.054561662,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.302648678,0.048560534,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.349472541,0.046823863,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.397666546,0.048194005,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.450382713,0.052716167,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.497567276,0.047184563,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.550367974,0.052800698,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.599507587,0.049139613,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.646676643,0.047169056,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.703351133,0.05667449,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.764289419,0.060938286,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.800671356,0.036381937,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.864344321,0.063672965,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.898225671,0.03388135,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.964695241,0.06646957,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20.997335283,0.032640042,0.0,0.0,0.5,0.0,0.0,0.0,0.0
21.049248896,0.051913613,0.0,0.0,0.5,0.0,0.0,0.0,0.0
21.099097426,0.04984853,0.0,0.0,0.5,0.0,0.0,0.0,0.0
21.146731537,0.047634111,0.0,0.0,0.5,0.0,0.0,0.0,0.0
21.202114926,0.055383389,0.0,0.0,0.5,0.0,0.0,0.0,0.0
