Time,dt,Error,Omega,V,Dummy,P,I,D
6.115644841,0.062637258,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.150034484,0.034389643,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.199899497,0.049865013,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.249751598,0.049852101,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.300540157,0.050788559,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.351008716,0.050468559,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.402258112,0.051249396,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.450460496,0.048202384,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.504672499,0.054212003,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.552137826,0.047465327,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.600852759,0.048714933,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.651319408,0.050466649,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.701045719,0.049726311,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.752274247,0.051228528,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.800117721,0.047843474,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.851785817,0.051668096,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.909559591,0.057773774,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.95002302,0.040463429,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.001506126,0.051483106,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.052117939,0.050611813,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.100003469,0.04788553,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.149236661,0.049233192,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.201799603,0.052562942,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.25178742,0.049987817,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.300905463,0.049118043,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.350686838,0.049781375,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.406682116,0.055995278,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.45111532,0.044433204,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.500558932,0.049443612,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.558243291,0.057684359,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.600399643,0.042156352,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.649679422,0.049279779,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.699287648,0.049608226,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.754268839,0.054981191,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.799704459,0.04543562,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.849068505,0.049364046,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.903338756,0.054270251,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.950845521,0.047506765,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.00469631,0.053850789,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.053391023,0.048694713,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.123392637,0.070001614,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.153455996,0.030063359,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.203850028,0.050394032,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.249936698,0.04608667,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.302672597,0.052735899,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.355072334,0.052399737,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.400201964,0.04512963,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.449959767,0.049757803,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.499871282,0.049911515,0.0,0.0,0.5,0.0,0.0,0.0,0.0
