Time,dt,Error,Omega,V,Dummy,P,I,D
6.185808112,0.052463182,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.245579271,0.059771159,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.287596912,0.042017641,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.33709695,0.049500038,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.38547544,0.04837849,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.443144026,0.057668586,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.491187482,0.048043456,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.533898037,0.042710555,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.584602097,0.05070406,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.6337381,0.049136003,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.693466226,0.059728126,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.733511312,0.040045086,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.784204623,0.050693311,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.835491828,0.051287205,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.884205298,0.04871347,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.933841859,0.049636561,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.983599158,0.049757299,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.034898952,0.051299794,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.08364912,0.048750168,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.134453323,0.050804203,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.184728662,0.050275339,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.234806271,0.050077609,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.283799373,0.048993102,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.334706724,0.050907351,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.384831987,0.050125263,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.441377556,0.056545569,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.484425028,0.043047472,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.533973261,0.049548233,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.587255737,0.053282476,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.634257,0.047001263,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.68508125,0.05082425,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.733810813,0.048729563,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.796257395,0.062446582,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.833865319,0.037607924,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.885977377,0.052112058,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.934103868,0.048126491,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.986808427,0.052704559,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.03500276,0.048194333,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.083763301,0.048760541,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.133997386,0.050234085,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.183739573,0.049742187,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.2359482,0.052208627,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.285918115,0.049969915,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.339318458,0.053400343,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.385708632,0.046390174,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.435410484,0.049701852,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.484010126,0.048599642,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.538807211,0.054797085,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.583767542,0.044960331,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.633657857,0.049890315,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.685776435,0.052118578,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.736537079,0.050760644,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.785523732,0.048986653,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.840193179,0.054669447,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.885069821,0.044876642,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.933954429,0.048884608,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.985525078,0.051570649,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.035965886,0.050440808,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.085801779,0.049835893,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.133974507,0.048172728,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.183694481,0.049719974,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.233888825,0.050194344,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.284096965,0.05020814,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.333781643,0.049684678,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.386107903,0.05232626,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.435974487,0.049866584,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.488940504,0.052966017,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.535395599,0.046455095,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.584020976,0.048625377,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.633599915,0.049578939,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.685558371,0.051958456,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.737937546,0.052379175,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.784507896,0.04657035,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.833691233,0.049183337,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.887192795,0.053501562,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.939020434,0.051827639,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.988484337,0.049463903,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.035637563,0.047153226,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.083743766,0.048106203,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.134099001,0.050355235,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.185238467,0.051139466,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.233676973,0.048438506,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.283978076,0.050301103,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.334135229,0.050157153,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.384458603,0.050323374,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.433605508,0.049146905,0.0,0.0,0.5,0.0,0.0,0.0,0.0
