Time,dt,Error,Omega,V,Dummy,P,I,D
6.15034618,0.050901975,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.199844423,0.049498243,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.250504587,0.050660164,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.300449264,0.049944677,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.351064078,0.050614814,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.404276412,0.053212334,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.458569538,0.054293126,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.499347115,0.040777577,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.554303671,0.054956556,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.605781975,0.051478304,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.664725861,0.058943886,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.701876125,0.037150264,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.751046244,0.049170119,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.799443961,0.048397717,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.852703828,0.053259867,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.90381989,0.051116062,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.950182453,0.046362563,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.00488666,0.054704207,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.051836664,0.046950004,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.099486805,0.047650141,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.149433835,0.04994703,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.201723019,0.052289184,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.250935607,0.049212588,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.301628867,0.05069326,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.34904486,0.047415993,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.403487826,0.054442966,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.455653935,0.052166109,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.504403677,0.048749742,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.550166933,0.045763256,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.599662078,0.049495145,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.650395685,0.050733607,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.699367714,0.048972029,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.750626962,0.051259248,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.799721715,0.049094753,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.851369259,0.051647544,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.902955052,0.051585793,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.949600737,0.046645685,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.001849334,0.052248597,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.051674774,0.04982544,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.109491234,0.05781646,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.14947925,0.039988016,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.199597088,0.050117838,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.253444601,0.053847513,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.300895929,0.047451328,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.349457827,0.048561898,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.404043768,0.054585941,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.451065067,0.047021299,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.49978899,0.048723923,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.549482473,0.049693483,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.604524314,0.055041841,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.650396744,0.04587243,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.700235669,0.049838925,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.755612525,0.055376856,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.7998707,0.044258175,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.84969076,0.04982006,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.90554591,0.05585515,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.954843384,0.049297474,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.006275154,0.05143177,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.049702727,0.043427573,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.105120089,0.055417362,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.15131493,0.046194841,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.205957175,0.054642245,0.0,0.0,0.5,0.0,0.0,0.0,0.0
