Time,dt,Error,Omega,V,Dummy,P,I,D
4.656356801,0.057179715,0.0,0.0,0.4656356800999999,0.0,0.0,0.0,0.0
4.700710721,0.04435392,0.0,0.0,0.4700710720999999,0.0,0.0,0.0,0.0
4.749790264,0.049079543,0.0,0.0,0.4749790263999999,0.0,0.0,0.0,0.0
4.801791717,0.052001453,0.0,0.0,0.4801791716999999,0.0,0.0,0.0,0.0
4.849585221,0.047793504,0.0,0.0,0.4849585220999999,0.0,0.0,0.0,0.0
4.907711297,0.058126076,0.0,0.0,0.4907711296999999,0.0,0.0,0.0,0.0
4.950951068,0.043239771,0.0,0.0,0.4950951067999999,0.0,0.0,0.0,0.0
5.000043319,0.049092251,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.049095716,0.049052397,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.09992908,0.050833364,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.149245574,0.049316494,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.214747715,0.065502141,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.249694801,0.034947086,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.310531711,0.06083691,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.350284004,0.039752293,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.401726749,0.051442745,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.453334005,0.051607256,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.499576137,0.046242132,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.553555697,0.05397956,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.601088887,0.04753319,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.65572366,0.054634773,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.700020853,0.044297193,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.749962383,0.04994153,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.806902316,0.056939933,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.850533136,0.04363082,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.899821248,0.049288112,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.952508398,0.05268715,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.003668251,0.051159853,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.055316153,0.051647902,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.104311347,0.048995194,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.150645485,0.046334138,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.200611325,0.04996584,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.25132267,0.050711345,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.299725831,0.048403161,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.349571511,0.04984568,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.399982757,0.050411246,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.449122156,0.049139399,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.499575405,0.050453249,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.550637094,0.051061689,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.599907943,0.049270849,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.652962028,0.053054085,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.699488719,0.046526691,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.754591625,0.055102906,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.803870559,0.049278934,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.853389371,0.049518812,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.89983486,0.046445489,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.952873476,0.053038616,0.0,0.0,0.5,0.0,0.0,0.0,0.0
