Time,dt,Error,Omega,V,Dummy,P,I,D
7.207715143,0.070106859,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.234458056,0.026742913,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.28679598,0.052337924,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.343016211,0.056220231,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.427403003,0.084386792,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.435342266,0.007939263,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.483815452,0.048473186,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.537159097,0.053343645,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.594568411,0.057409314,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.636438539,0.041870128,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.687311168,0.050872629,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.739267103,0.051955935,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.822625426,0.083358323,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.839878985,0.017253559,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.896667598,0.056788613,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.934002385,0.037334787,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.987162487,0.053160102,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.035709574,0.048547087,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.08506081,0.049351236,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.135468462,0.050407652,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.184312669,0.048844207,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.239126053,0.054813384,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.288261028,0.049134975,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.336180151,0.047919123,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.40941587,0.073235719,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.445861911,0.036446041,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.485650063,0.039788152,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.543513687,0.057863624,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.584392859,0.040879172,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.63606261,0.051669751,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.684692199,0.048629589,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.735372928,0.050680729,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.783800559,0.048427631,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.837978743,0.054178184,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.885077569,0.047098826,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.937028507,0.051950938,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.983960675,0.046932168,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.036507085,0.05254641,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.084832024,0.048324939,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.134088289,0.049256265,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.184474046,0.050385757,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.234787769,0.050313723,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.285684012,0.050896243,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.333360528,0.047676516,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.386827765,0.053467237,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.433805437,0.046977672,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.487803548,0.053998111,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.540299715,0.052496167,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.584948192,0.044648477,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.633979769,0.049031577,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.687039531,0.053059762,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.739594807,0.052555276,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.788659445,0.049064638,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.834341459,0.045682014,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.895553404,0.061211945,0.0,0.0,0.5,0.0,0.0,0.0,0.0
