Time,dt,Error,Omega,V,Dummy,P,I,D
7.448938758,0.047170251,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.498765394,0.049826636,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.552065706,0.053300312,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.604338808,0.052273102,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.651514259,0.047175451,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.703713671,0.052199412,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.748409733,0.044696062,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.802876271,0.054466538,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.849659507,0.046783236,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.914873355,0.065213848,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.952420922,0.037547567,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.002825625,0.050404703,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.054599249,0.051773624,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.098969883,0.044370634,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.152661158,0.053691275,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.199561527,0.046900369,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.25135018,0.051788653,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.298589061,0.047238881,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.348749561,0.0501605,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.40073677,0.051987209,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.45990103,0.05916426,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.50629652,0.04639549,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.551599776,0.045303256,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.599647383,0.048047607,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.677131565,0.077484182,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.698990266,0.021858701,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.751677335,0.052687069,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.799643297,0.047965962,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.849545438,0.049902141,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.900136465,0.050591027,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.949255287,0.049118822,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.000077795,0.050822508,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.049774985,0.04969719,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.100492232,0.050717247,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.150709591,0.050217359,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.199443092,0.048733501,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.254850225,0.055407133,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.30149578,0.046645555,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.35109231,0.04959653,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.416741013,0.065648703,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.45054474,0.033803727,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.498667942,0.048123202,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.557154084,0.058486142,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.60007736,0.042923276,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.649431459,0.049354099,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.700596978,0.051165519,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.74916777,0.048570792,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.798418232,0.049250462,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.861143184,0.062724952,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.903493703,0.042350519,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.953726921,0.050233218,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.010873169,0.057146248,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.049721346,0.038848177,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.098916643,0.049195297,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.155201564,0.056284921,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.19971476,0.044513196,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.264606988,0.064892228,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.299721695,0.035114707,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.364626648,0.064904953,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.403107066,0.038480418,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.454197222,0.051090156,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.498591572,0.04439435,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.553058462,0.05446689,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.601303605,0.048245143,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.654586316,0.053282711,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.704402863,0.049816547,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.751239632,0.046836769,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.80152495,0.050285318,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.854506349,0.052981399,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.915931903,0.061425554,0.0,0.0,0.5,0.0,0.0,0.0,0.0
