Time,dt,Error,Omega,V,Dummy,P,I,D
5.884378926,0.046931045,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.93310819,0.048729264,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.979500674,0.046392484,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.037015442,0.057514768,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.081891431,0.044875989,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.135511666,0.053620235,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.179554005,0.044042339,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.231784426,0.052230421,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.284728509,0.052944083,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.329297838,0.044569329,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.380116213,0.050818375,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.429382225,0.049266012,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.483217659,0.053835434,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.532129659,0.048912,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.579631667,0.047502008,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.631868801,0.052237134,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.682269153,0.050400352,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.734085038,0.051815885,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.780825313,0.046740275,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.841955624,0.061130311,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.879751002,0.037795378,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.930263587,0.050512585,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.988214764,0.057951177,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.036147558,0.047932794,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.083948643,0.047801085,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.129208941,0.045260298,0.0,0.0,0.5,0.0,0.0,0.0,0.0
