Time,dt,Error,Omega,V,Dummy,P,I,D
8.212708773,0.055183557,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.252950063,0.04024129,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.300277947,0.047327884,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.357480321,0.057202374,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.401829985,0.044349664,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.456045382,0.054215397,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.501462492,0.04541711,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.550737208,0.049274716,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.601813113,0.051075905,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.650284867,0.048471754,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.700188599,0.049903732,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.755445253,0.055256654,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.800526358,0.045081105,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.85160972,0.051083362,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.903737165,0.052127445,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.956131639,0.052394474,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.000142882,0.044011243,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.066466712,0.06632383,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.102884452,0.03641774,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.150237266,0.047352814,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.201651757,0.051414491,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.273026494,0.071374737,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.305333294,0.0323068,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.361797992,0.056464698,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.402695121,0.040897129,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.453294868,0.050599747,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.511091678,0.05779681,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.569518296,0.058426618,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.600437701,0.030919405,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.655264094,0.054826393,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.70338226,0.048118166,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.755807842,0.052425582,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.80330637,0.047498528,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.850000045,0.046693675,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.913541893,0.063541848,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.968779791,0.055237898,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.0116972,0.042917409,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.051289681,0.039592481,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.10040251,0.049112829,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.151665421,0.051262911,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.19958037,0.047914949,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.250152098,0.050571728,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.302064894,0.051912796,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.356252496,0.054187602,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.399630037,0.043377541,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.452431625,0.052801588,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.504266215,0.05183459,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.556553673,0.052287458,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.599600976,0.043047303,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.651350938,0.051749962,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.700487031,0.049136093,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.750676524,0.050189493,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.800661657,0.049985133,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.850503883,0.049842226,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.908069367,0.057565484,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10.95137682,0.043307453,0.0,0.0,0.5,0.0,0.0,0.0,0.0
11.008019167,0.056642347,0.0,0.0,0.5,0.0,0.0,0.0,0.0
11.050282146,0.042262979,0.0,0.0,0.5,0.0,0.0,0.0,0.0
11.107736732,0.057454586,0.0,0.0,0.5,0.0,0.0,0.0,0.0
11.152423956,0.044687224,0.0,0.0,0.5,0.0,0.0,0.0,0.0
11.202638559,0.050214603,0.0,0.0,0.5,0.0,0.0,0.0,0.0
11.249502044,0.046863485,0.0,0.0,0.5,0.0,0.0,0.0,0.0
11.300088232,0.050586188,0.0,0.0,0.5,0.0,0.0,0.0,0.0
11.358580379,0.058492147,0.0,0.0,0.5,0.0,0.0,0.0,0.0
11.40275341,0.044173031,0.0,0.0,0.5,0.0,0.0,0.0,0.0
11.463384259,0.060630849,0.0,0.0,0.5,0.0,0.0,0.0,0.0
