Time,dt,Error,Omega,V,Dummy,P,I,D
4.591196031,0.049655193,0.0,0.0,0.4591196031000001,0.0,0.0,0.0,0.0
4.641001719,0.049805688,0.0,0.0,0.4641001719000001,0.0,0.0,0.0,0.0
4.694716886,0.053715167,0.0,0.0,0.4694716886000001,0.0,0.0,0.0,0.0
4.746689476,0.05197259,0.0,0.0,0.4746689476000001,0.0,0.0,0.0,0.0
4.798126511,0.051437035,0.0,0.0,0.4798126511000001,0.0,0.0,0.0,0.0
4.841655442,0.043528931,0.0,0.0,0.4841655442000001,0.0,0.0,0.0,0.0
4.892772893,0.051117451,0.0,0.0,0.4892772893000001,0.0,0.0,0.0,0.0
4.946342524,0.053569631,0.0,0.0,0.4946342524000001,0.0,0.0,0.0,0.0
4.992491283,0.046148759,0.0,0.0,0.49924912830000007,0.0,0.0,0.0,0.0
5.041268846,0.048777563,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.09129975,0.050030904,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.142264593,0.050964843,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.207721689,0.065457096,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.242193029,0.03447134,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.296591906,0.054398877,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.342424088,0.045832182,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.399855077,0.057430989,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.460278164,0.060423087,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.491800692,0.031522528,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.541722628,0.049921936,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.591305397,0.049582769,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.641242325,0.049936928,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.702220462,0.060978137,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.742259135,0.040038673,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.814591598,0.072332463,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.844924,0.030332402,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.89245157,0.04752757,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.943880637,0.051429067,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.992321529,0.048440892,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.046065838,0.053744309,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.10675078,0.060684942,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.140837381,0.034086601,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.191316871,0.05047949,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.24487707,0.053560199,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.291361429,0.046484359,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.342301958,0.050940529,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.395407063,0.053105105,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.443094547,0.047687484,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.492135543,0.049040996,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.542621212,0.050485669,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.591248263,0.048627051,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.641526621,0.050278358,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.693152566,0.051625945,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.741473806,0.04832124,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.799373549,0.057899743,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.8418435,0.042469951,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.893075922,0.051232422,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.94138419,0.048308268,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.991312084,0.049927894,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.04132032,0.050008236,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.091338455,0.050018135,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.144484803,0.053146348,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.191815212,0.047330409,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.244293625,0.052478413,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.291228051,0.046934426,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.341787045,0.050558994,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.393309493,0.051522448,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.442429875,0.049120382,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.494514857,0.052084982,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.541291004,0.046776147,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.595071053,0.053780049,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.641559896,0.046488843,0.0,0.0,0.5,0.0,0.0,0.0,0.0
