Time,dt,Error,Omega,V,Dummy,P,I,D
6.10943008,0.062695907,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.166129953,0.056699873,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.200693964,0.034564011,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.245863775,0.045169811,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.299228885,0.05336511,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.345057516,0.045828631,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.394137594,0.049080078,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.445178516,0.051040922,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.49486221,0.049683694,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.547446429,0.052584219,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.595091503,0.047645074,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.644953734,0.049862231,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.694046575,0.049092841,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.763011432,0.068964857,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.809876868,0.046865436,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.849364785,0.039487917,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.894946252,0.045581467,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.94487636,0.049930108,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.998895362,0.054019002,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.044187323,0.045291961,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.095195435,0.051008112,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.143994504,0.048799069,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.195737189,0.051742685,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.248963199,0.05322601,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.29724813,0.048284931,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.344360533,0.047112403,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.400153819,0.055793286,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.443907674,0.043753855,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.500690545,0.056782871,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.544272176,0.043581631,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.603462551,0.059190375,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.648849403,0.045386852,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.694544495,0.045695092,0.0,0.0,0.5,0.0,0.0,0.0,0.0
